rank,title,author,score
1,Calculus,James Stewart,100
2,The Elements of Style,William Strunk,100
3,Social Research Methods,Alan Bryman,100
4,Human Anatomy and Physiology Laboratory Manual,Elaine Nicpon Marieb,100
5,English Grammar in Use,Raymond Murphy,100
6,Research Design,John W Creswell,100
7,Doing Your Research Project: A Guide for First-Time Researchers in Education and Social Science,Judith Bell,100
8,Biology,Neil Alexander Campbell,100
9,"A Manual for Writers of Research Papers, Theses, and Dissertations: Chicago Style for Students and Researchers",Kate L Turabian,100
10,The Study Skills Handbook,Stella Cottrell,100
11,Discovering Statistics Using IBM SPSS,Andy P Field,100
12,Orientalism,Edward W Said,100
13,Manifesto of the Communist Party,Karl Marx,100
14,Marketing Management,Philip Kotler,100
15,Molecular Biology of the Cell: The Problems Book,Bruce Alberts,100
16,Imagined Communities: Reflections on the Origin and Spread of Nationalism,Benedict R O'G Anderson,100
17,Introduction to Algorithms,T H Corman,100
18,They Say/I Say,Cathy Birkenstein,100
19,A Pocket Style Manual,Sommers,100
20,The Craft of Research,Wayne C Booth,100
21,Artificial Intelligence: A Modern Approach,S Russel,100
22,Frankenstein,Mary Wollstonecraft Shelley,100
23,Leviathan,Thomas Hobbes,100
24,Discipline and Punish: The Birth of the Prison,Michel Foucault,99
25,Research Methods for Business Students,Mark Saunders,100
26,Critical Thinking Skills: Developing Effective Analysis and Argument,Stella Cottrell,100
27,Introductory Econometrics: A Modern Approach,Jeffrey M Wooldridge,100
28,The Good Research Guide: For Small-Scale Social Research Projects,Martyn Denscombe,100
29,Give Me Liberty!: An American History,Eric Foner,100
30,Principles of Corporate Finance,Richard A Brealey,100
31,Computer Networking,James F Kurose,100
32,Real World Research: A Resource for Social Scientists and Practitioner-Researchers,Colin Robson,100
33,A Writer's Reference,Diana Hacker,99
34,The Prince,Niccolo Machiavelli,99
35,The Art of Public Speaking,Stephen E Lucas,99
36,Heart of Darkness,Joseph Conrad,99
37,Doing Qualitative Research: A Practical Handbook,David Silverman,99
38,Leadership: Theory and Practice,Peter G Northouse,99
39,Principles of Anatomy and Physiology,Gerard J Tortora,99
40,Republic,Plato,99
41,Gender Trouble: Feminism and the Subversion of Identity,Judith Butler,99
42,International Economics: Theory and Policy,Paul R Krugman,99
43,Ways of Seeing: Based on the BBC Television Series,John Berger,99
44,We the People: An Introduction to American Politics,Ginsburg,99
45,Research Methods in Education,Louis Cohen,99
46,The Clash of Civilizations?,Samuel P Huntington,98
47,Case Study Research: Design and Methods,Robert K Yin,99
48,Medical-Surgical Nursing: Assessment and Management of Clinical Problems,Sharon Mantik Lewis,100
49,Principles of Marketing,Philip Kotler,99
50,Pedagogy of the Oppressed,Paulo Freire,99
51,Getting to Yes: Negotiating Agreement Without Giving In,Ury,99
52,Engineering Mechanics,R C Hibbeler,99
53,Physical Chemistry,P W Atkins,99
54,How to Read a Paper: The Basics of Evidence-Based Medicine,Trisha Greenhalgh,98
55,"Fundamentals of Physics: David Halliday, Robert Resnick, Jearl Walker",David Halliday,99
56,The Reflective Practitioner: How Professionals Think in Action,Donald A Schon,98
57,Reflective Practice: Writing and Professional Development,Gillie Bolton,99
58,Easy Writer,Andrea Lundsford,96
59,Film Art: An Introduction,David Bordwell,98
60,Computer Networks,Andrew S Tannenbaum,99
61,"Business Model Generation: A Handbook for Visionaries, Game Changers, and Challengers",Alexander Osterwalder,99
62,Qualitative Inquiry and Research Design,John W Creswell,100
63,The History of Sexuality: 1,Michel Foucault,98
64,Intermediate Accounting,Donald E Kieso,98
65,Rang and Dale's Pharmacology,James Ritter,98
66,"Options, Futures, and Other Derivatives",John Hull,99
67,The Structure of Scientific Revolutions,Thomas S Kuhn,98
68,Gorgias,Plato,98
69,Skills for Success,Stella Cottrell,98
70,Yellow Wallpaper,Charlotte Perkins Gilman,98
71,Business Research Methods,E Bell,99
72,The Elements of Statistical Learning,Jerome Friedman,99
73,Communication Skills Handbook,Jane Summers,95
74,Materials Science and Engineering: An Introduction,William D Callister,99
75,Chemistry: The Central Science,Theodore L Brown,98
76,Principles of Biochemistry: The Molecular Basis of Cell Structure and Function,Nelson,99
77,University Physics: With Modern Physics,Hugh D Young,98
78,Pattern Recognition and Machine Learning,Christopher M Bishop,99
79,Fundamentals of Anatomy and Physiology,Frederic Martini,98
80,Calculus,Ron Larson,98
81,Elementary Statistics,Mario F Triola,97
82,On Liberty,John Stuart Mill,97
83,Intermediate Microeconomics: A Modern Approach,Hal R Varian,98
84,A Theory of Justice,John Rawls,97
85,The C Programming Language,Brian W Kernighan,98
86,Fundamental Principles of the Metaphysic of Morals,Immanuel Kant,97
87,Management and Organisational Behaviour,Laurie J Mullins,98
88,The Norton Field Guide to Writing,Richard H Bullock,99
89,Second Treatise of Government,John Locke,97
90,Doing a Literature Review: Releasing the Social Science Research Imagination,Christopher Hart,97
91,The Souls of Black Folk,W E B Du Bois,97
92,America: A Narrative History,George Brown Tindall,96
93,Business Vocabulary in Use: Intermediate,Bill Mascull,97
94,Computer Organization and Design: The Hardware/Software Interface,David A Patterson,97
95,Practical English Usage,Michael Swan,98
96,Jak Napsat Odborný Text,F Danes,98
97,Software Engineering: Ruan Ji Gong Cheng],Ian Sommerville,98
98,The Design of Everyday Things,Donald A Norman,98
99,Things Fall Apart,Chinua Achebe,97
100,Kvalitativní Výzkum - Základní Metody a Aplikace,Jan Hendl,99
101,Operating System Concepts,Abraham Silberschatz,98
102,Everything's an Argument: With Readings,Andrea A Lunsford,97
103,Brock Biology of Microorganisms,M T Madigan,97
104,Advanced Engineering Mathematics,Erwin Kreyszig,98
105,Marketing: An Introduction,Gary Armstrong,98
106,Školní Didaktika,Z Kalhous,98
107,Digital Image Processing,R C Gonzales,98
108,Macroeconomics,N Gregory Mankiw,97
109,The Wretched of the Earth: Frantz Fanon ; Translated From the French by Richard Philcox ; Introductions by Jean-Paul Sartre and Homi K. Bhabha,Frantz Fanon,97
110,How Languages Are Learned,P M Lightbrown,96
111,"Narrative of the Life of Frederick Douglass, an American Slave",Frederick Douglass,96
112,The Little Seagull Handbook: With Exercises,Michal Brody,98
113,The Practice of Social Research,Earl R Babbie,97
114,Moderní Vyučováni,Geoffrey Petty,98
115,Discrete Mathematics and Its Applications,Kenneth H Rosen,97
116,An Inquiry Into the Nature and Causes of the Wealth of Nations,Adam Smith,95
117,Standards for Professional Communication,Ann Mikula,91
118,Econometric Analysis,William H Greene,97
119,Nicomachean Ethics,Aristotle,96
120,Moderní Pedagogika - Věda O Edukačních Procesech,Jan Prucha,97
121,Psychologie Pro Učitele,Jan Cap,97
122,Investments,Zvi Bodie,97
123,The Work of Art in the Age of Mechanical Reproduction,Walter Benjamin,96
124,The Tragedy of the Commons,Garrett Hardin,95
125,Interpreting Qualitative Data,David Silverman,96
126,SPSS Survival Manual: A Step by Step Guide to Data Analysis Using SPSS for Windows (Version 12),Julie Pallant,97
127,Biochemistry,Berg Jm,97
128,Molecular Cell Biology,Harvey F Lodish,97
129,College Algebra: An Early Functions Approach,Robert Blitzer,98
130,Nursing Diagnosis Handbook: A Guide to Planning Care,Betty J Ackley,97
131,Bowling Alone: The Collapse and Revival of American Community,Robert D Putnam,95
132,Democracy in America,Alexis De Tocqueville,95
133,Leading Change,John P Kotter,96
134,MLA Handbook for Writers of Research Papers,Joseph Gibaldi,95
135,"Managerial Accounting: Concepts for Planning, Control, Decision Making",Ray H Garrison,95
136,Letter From Birmingham Jail,Martin Luther King,95
137,Research Methodology: A Step-by-Step Guide for Beginners,Ranjit Kumar,98
138,Management Information Systems,Kenneth C Laudon,97
139,Úvod Do Pedagogického Výzkumu,Peter Gavora,98
140,Exploring Strategy: Text and Cases (11th Edition),Gerry Johnson,96
141,Advanced Grammar in Use,Martin Hewings,97
142,Contemporary Strategy Analysis,Robert M Grant,96
143,The Social Contract,JeanJacques Rousseau,95
144,The Things They Carried: A Work of Fiction,Tim O'Brien,95
145,How to Research,Loraine Blaxter,95
146,The Protestant Ethic and the Spirit of Capitalism,Max Weber,94
147,Meditations on First Philosophy,Rene Descartes,96
148,Linear Algebra and Its Applications,David C Lay,96
149,Organic Chemistry,Jonathan Clayden,96
150,Jak Se Vyrábí Sociologická Znalost,Miroslav Disman,97
151,The Odyssey,Homer,94
152,The SAGE Handbook of Qualitative Research,Norman K Denzin,96
153,"Thinking, Fast and Slow",Daniel Kahneman,96
154,"Fundamentals of Nursing: Concepts, Process, and Practice",Patricia A Potter,97
155,The Great Gatsby,F Scott Fitzgerald,96
156,A Vindication of the Rights of Woman,Mary Wollstonecraft,95
157,Visual Methodologies,Gillian Rose,96
158,Jane Eyre,Charlotte Bronte,95
159,Organic Chemistry,John E McMurry,95
160,Consumer Behavior,Michael R Solomon,96
161,Introduction to Econometrics: Brief Edition,James H Stock,96
162,Quantitative Chemical Analysis,Daniel C Harris,95
163,Project Management,Harold Kerzner,96
164,Development as Freedom,Amartya Sen,94
165,Exercise Physiology,Scott K Powers,96
166,A Handbook of Reflective and Experiential Learning: Theory and Practice,Jennifer A Moon,94
167,Doing a Literature Review in Health and Social Care,Helen Aveyard,95
168,Beloved: A Novel,Toni Morrison,95
169,Utilitarianism,John Stuart Mill,94
170,Project Management: The Managerial Process,Erik W Larson,95
171,Macroeconomics: A European Perspective,Olivier Blanchard,96
172,"The Economics of Money, Banking, and Financial Markets",Frederic S Mishkin,96
173,Fundamentals of Database Systems,Ramez Elmasri,96
174,Computer Architecture: A Quantitative Approach,John Hennessey,95
175,Poetics,Aristotle,94
176,Convergence Culture: Where Old and New Media Collide,Henry Jenkins,95
177,Corporate Finance: Core Principles and Applications,Stephen A Ross,96
178,Governing Texas: An Introduction to Texas Politics],Edward J Harpham,96
179,Modern Operating Systems,Andrew Tannenbaum,95
180,Cost Accounting: A Managerial Emphasis,Charles T Horngren,93
181,Organizational Behavior,Stephen P Robbins,95
182,"Principles of Microeconomics: Study Guide, Third Edition",N Gregory Mankiw,94
183,A Rose for Emily,William Faulkner,94
184,The Fifth Discipline: The Art and Practice of the Learning Organization,Peter M Senge,94
185,Welding: Principles and Applications,Larry F Jeffus,96
186,Social Research,Tim May,94
187,Psychology,David G Myers,93
188,Physical Examination and Health Assessment,Carolyn Jarvis,96
189,"The Little, Brown Handbook: High School Version",Jane E Aaron,90
190,Qualitative Data Analysis,Matthew B Miles,95
191,Corporate Finance: The Core,Jonathan B Berk,96
192,College Algebra,Margaret L Lial,93
193,The Presentation of Self in Everyday Life,Erving Goffman,93
194,Jak Napsat Diplomovou Práci,Umberto Eco,95
195,International Business: Competing in the Global Marketplace,Charles W L Hill,95
196,Introduction to the Theory of Computation,Michael Sipser,94
197,Operations Management,Nigel Slack,95
198,Feedback Control of Dynamic Systems,Gene F Franklin,94
199,Modern Dental Assisting,Bird Saunders,95
200,The American Promise: A History of the United States,James L Roark,91
201,Paradise Lost,John Milton,93
202,The Skilled Helper,Gerard Egan,93
203,The Practice of English Language Teaching,Jeremy Harmer,95
204,Tempest,William Shakespeare,92
205,Incidents in the Life of a Slave Girl: Written by Herself,Harriet A Jacobs,94
206,Theory and Practice of Counseling and Psychotherapy,Gerald Corey,93
207,Psychologie Ve Školní Praxi,David Fontana,94
208,Practical Research: Planning and Design,Paul D Leedy,94
209,Hamlet,William Shakespeare,93
210,Social Research Methods: Qualitative and Quantitative Approaches,William Lawrence Neuman,92
211,Research Methods in Health: Investigating Health and Health Services,April Bowling,94
212,Oedipus the King,Sophocles,93
213,Microeconomics,Robert S Pindyck,94
214,Global Shift,Peter Dicken,94
215,Understanding Comics: The Invisible Art,Scott McCloud,93
216,Introduction to Solid State Physics,Charles Kittel,95
217,Principles of Economics,N Gregory Mankiw,94
218,Cite Them Right: The Essential Referencing Guide,Richard Pears,94
219,The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Michelle Alexander,93
220,Canterbury Tales,Geoffrey Chaucer,92
221,The Bedford Handbook,Diana Hacker,88
222,Surviving Your Dissertation: A Comprehensive Guide to Content and Process,Kjell Erik Rudestam,92
223,Prufrock and Other Observations: And Other Poems,T S Eliot,91
224,English Vocabulary in Use,Michael McCarthy,95
225,Physics for Scientists and Engineers: Technology Update,Raymond A Serway,94
226,Their Eyes Were Watching God: A Novel,Zora Neale Hurston,92
227,The Second Sex,Simone De Beauvoir,93
228,Visual Pleasure and Narrative Cinema,Laura Mulvey,93
229,The Language of New Media,Lev Manovich,94
230,Fundamentals of Corporate Finance,Stephen A Ross,92
231,The Federalist,Alexander Hamilton,91
232,"Intermediate Algebra: Margaret L. Lial, John Hornsby, Terry McGinnis",Margaret L Lial,87
233,Basic Econometrics: A Computer Handbook Using Shazam,Damodar N Gujarati,91
234,Principles of Neural Science,Kandel Er,93
235,Essentials of Human Anatomy and Physiology: Main Version,Elaine Nicpon Marieb,93
236,Distinction: A Social Critique of the Judgement of Taste: A Social Critique of the Judgement of Taste,Pierre Bourdieu,93
237,Genealogy of Morals,Friedrich Nietzsche,90
238,Building Construction Illustrated,Francis D K Ching,92
239,The Visual Display of Quantitative Information,Edward R Tufte,93
240,"Black Skin, White Masks",Frantz Fanon,93
241,Obecná Didaktika,Jarmila Skalkova,95
242,Fundamentals of Nursing: The Art and Science of Nursing Care,Carol Taylor,97
243,Gardner's Art Through the Ages,Helen Gardner,94
244,"Lidský Vztah Jako Součást Profese: Psychoterapeutické Kapitoly Pro Sociální, Pedagogické a Zdravotnické Profese",Karel Kopriva,94
245,Calculus: Early Transcendentals Single Variable (Briggs/Cochran/Gillett Calculus 2e),William L Briggs,95
246,Project Management: A Managerial Approach,Jack R Meredith,92
247,An Introduction to Qualitative Research,Uwe Flick,92
248,Metamorphosis,Franz Kafka,92
249,"EU Law: Text, Cases, and Materials",Paul Craig,94
250,Essential Cell Biology: An Introduction to the Molecular Biology of the Cell,Bruce Alberts,94
251,Globalization and Its Discontents,Joseph E Stiglitz,90
252,Mythologies,Roland Barthes,91
253,The End of History and the Last Man,Francis Fukuyama,90
254,Chemistry: A Molecular Approach,Nivaldo J Tro,94
255,Designing Social Inquiry: Scientific Inference in Qualitative Research,Gary King,91
256,Sociology,Anthony Giddens,92
257,The Leadership Challenge,James M Kouzes,93
258,Econometric Analysis of Cross Section and Panel Data,Jeffrey M Wooldridge,93
259,Modern Control Systems,Richard C Dorf,93
260,Principles of Biomedical Ethics,Tom L Beauchamp,92
261,Exploring Corporate Strategy: Text and Cases,Gerry Johnson,92
262,Academic Writing: A Handbook for International Students,Stephen K Bailey,96
263,Introduction to Electrodynamics,David J Griffiths,94
264,"Database Systems: A Practical Approach to Design, Implementation, and Management",Thomas M Connolly,92
265,The Culture Industry: Selected Essays on Mass Culture,Theodor W Adorno,90
266,"Speech and Language Processing: An Introduction to Natural Language Processing, Computational Linguistics, and Speech Recognition",Dan Jurafsky,93
267,Statistics for People Who (Think They) Hate Statistics,Neil J Salkind,92
268,Human Physiology: An Integrated Approach,Dee Unglaub,92
269,An Introduction to Statistical Learning: With Applications in R,Gareth James,97
270,Doing a Successful Research Project: Using Qualitative or Quantitative Methods,Martin Davies,93
271,Advertising and Promotion: An Integrated Marketing Communications Perspective,George E Belch,91
272,Essential Grammar in Use,Raymond Murphy,91
273,"Guns, Germs, and Steel: The Fates of Human Societies",Jared M Diamond,89
274,Mostly Harmless Econometrics: An Empiricist's Companion,Joshua D Angrist,94
275,Camera Lucida: Reflections on Photography,Roland Barthes,91
276,Organizational Culture and Leadership,Edgar H Schein,92
277,Clinical Practice of the Dental Hygienist,Esther M Wilkins,91
278,Cryptography and Network Security: Principles and Practice,William Stallings,94
279,"Story: Substance, Structure, Style and the Principles of Screenwriting",Robert McKee,90
280,Advanced Macroeconomics,David Romer,92
281,Silent Spring,Rachel Carson,91
282,Motivational Interviewing,William R Miller,93
283,A Good Man Is Hard to Find: And Other Stories,Flannery O'Connor,91
284,Software Engineering: A Practitioner's Approach,Roger S Pressman,92
285,Metody Pedagogického Výzkumu: Základy Kvantitativního Výzkumu,Miroslav Chraska,96
286,Invisible Man,Ralph Ellison,89
287,White Privilege: Unpacking the Invisible Knapsack,Peggy McIntosh,87
288,Rules for Writers,Diana Hacker,90
289,The Art of Electronics: The X-Chapters,Paul Horowitz,91
290,On Photography,Susan Sontag,91
291,Using and Understanding Mathematics: A Quantitative Reasoning Approach,Jeffrey O Bennett,90
292,"Supply Chain Management: Strategy, Planning, and Operation",Sunil Chopra,93
293,Confessions,Augustine,88
294,Management and Cost Accounting,Colin Drury,92
295,Design Patterns: Elements of Reusable Object-Oriented Software,Erich Gamma,91
296,Data Mining: Concepts and Techniques,Jiawei Han,93
297,Microbiology: An Introduction,Gerard J Tortora,90
298,America,David E Shi,96
299,The C++ Programming Language,Bjarne Stroustrup,91
300,Culture and Imperialism,Edward W Said,91
